index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
535, 114542, 38609, 116393, 27100, 24757, 698, 2538366, 2127189
536, 114553, 38611, 116402, 27100, 24757, 698, 2538495, 2127232
537, 114553, 38611, 116402, 27100, 24757, 698, 2538495, 2127232
538, 114553, 38611, 116402, 27100, 24757, 698, 2538498, 2127235
539, 114553, 38611, 116402, 27100, 24757, 698, 2538501, 2127238
540, 114553, 38611, 116402, 27100, 24757, 698, 2538504, 2127241
541, 114553, 38611, 116402, 27100, 24757, 698, 2538507, 2127244
542, 114596, 38611, 116463, 27100, 24757, 698, 2538765, 2127316
543, 114602, 38611, 116475, 27100, 24757, 698, 2538843, 2127337
544, 114674, 38614, 116544, 27100, 24757, 698, 2539205, 2127473
545, 114698, 38617, 116565, 27100, 24757, 698, 2539389, 2127546
546, 114719, 38620, 116583, 27100, 24757, 698, 2539409, 2127566
547, 114749, 38621, 116612, 27100, 24757, 698, 2539631, 2127677
548, 114749, 38621, 116612, 27100, 24757, 698, 2539631, 2127677
549, 114749, 38621, 116612, 27100, 24757, 698, 2539638, 2127684
550, 114749, 38621, 116612, 27100, 24757, 698, 2539653, 2127695
551, 114749, 38621, 116612, 27100, 24757, 698, 2539657, 2127698
552, 114814, 38628, 116678, 27100, 24757, 698, 2540204, 2127904
553, 114814, 38628, 116678, 27100, 24757, 698, 2540204, 2127904
554, 114814, 38628, 116678, 27100, 24757, 698, 2540204, 2127904
555, 114814, 38628, 116678, 27100, 24757, 698, 2540204, 2127904
556, 114814, 38628, 116678, 27100, 24757, 698, 2540204, 2127904
557, 114814, 38628, 116689, 27100, 24757, 698, 2540306, 2127940
558, 114814, 38628, 116689, 27100, 24757, 698, 2540309, 2127943
559, 114850, 38628, 116746, 27100, 24757, 698, 2540565, 2128018
560, 114912, 38628, 116808, 27100, 24757, 698, 2540800, 2128068
561, 114924, 38628, 116820, 27100, 24757, 698, 2540883, 2128092
562, 114955, 38629, 116862, 27100, 24757, 698, 2541074, 2128150
563, 114991, 38629, 116898, 27100, 24757, 698, 2541175, 2128187
564, 115048, 38645, 116940, 27100, 24757, 698, 2541428, 2128310
565, 115102, 38645, 116994, 27100, 24757, 698, 2541669, 2128358
566, 115110, 38646, 117024, 27100, 24757, 698, 2542002, 2128557
567, 115124, 38646, 117039, 27100, 24757, 698, 2542085, 2128581
568, 115160, 38646, 117075, 27100, 24757, 698, 2542261, 2128639
569, 115175, 38646, 117090, 27100, 24757, 698, 2542457, 2128727
570, 115246, 38669, 117141, 27100, 24757, 698, 2542617, 2128826
571, 115285, 38669, 117180, 27100, 24757, 698, 2542739, 2128876
572, 115325, 38682, 117207, 27100, 24757, 698, 2542982, 2128959
573, 115333, 38690, 117207, 27100, 24757, 698, 2542986, 2128963
574, 115341, 38698, 117207, 27100, 24757, 698, 2542993, 2128969
575, 115353, 38698, 117219, 27100, 24757, 698, 2543116, 2129014
576, 115364, 38698, 117231, 27100, 24757, 698, 2543204, 2129042
577, 115433, 38702, 117303, 27100, 24757, 698, 2543528, 2129161
578, 115445, 38702, 117315, 27100, 24757, 698, 2543610, 2129189
579, 115511, 38702, 117381, 27100, 24757, 698, 2544008, 2129339
580, 115542, 38710, 117404, 27100, 24757, 698, 2544190, 2129390
581, 115557, 38710, 117419, 27100, 24757, 698, 2544276, 2129414
582, 115576, 38710, 117443, 27100, 24757, 698, 2544383, 2129446
583, 115591, 38710, 117458, 27100, 24757, 698, 2544500, 2129504
584, 115591, 38710, 117458, 27100, 24757, 698, 2544503, 2129507
585, 115591, 38710, 117458, 27100, 24757, 698, 2544504, 2129508
586, 115618, 38710, 117485, 27100, 24757, 698, 2544652, 2129555
587, 115618, 38710, 117485, 27100, 24757, 698, 2544658, 2129561
588, 115618, 38710, 117485, 27100, 24757, 698, 2544664, 2129566
589, 115687, 38714, 117550, 27100, 24757, 698, 2544940, 2129664
590, 115711, 38715, 117573, 27100, 24757, 698, 2545032, 2129701
591, 115762, 38735, 117616, 27100, 24757, 698, 2545231, 2129765
592, 115765, 38735, 117631, 27100, 24757, 698, 2545348, 2129804
593, 115794, 38737, 117677, 27100, 24757, 698, 2545711, 2129907
594, 115796, 38737, 117680, 27100, 24757, 698, 2545717, 2129907
595, 115837, 38737, 117721, 27100, 24757, 698, 2545910, 2129955
596, 115854, 38745, 117730, 27100, 24757, 698, 2546037, 2130009
597, 115877, 38745, 117753, 27100, 24757, 698, 2546179, 2130067
598, 115877, 38745, 117753, 27100, 24757, 698, 2546179, 2130067
